" Label Encoded Veri (Tüm Satırlar ve Sütunlar):\n",
            "     school  sex   age  address  famsize  Pstatus      Medu  Fedu  Mjob  Fjob  reason  guardian  traveltime  studytime  failures  schoolsup  famsup  paid  activities  nursery  higher  internet  romantic    famrel  freetime     goout      Dalc      Walc   health   absences         G1        G2         G3\n",
            "0         0    0  18.0        1        0        0  2.742347   4.0     0     2       0         1         2.0        2.0       0.0          0       0     0           0        1       1         1         0  3.944162  3.000000  4.000000  1.000000  1.000000  3.00000   6.000000   5.000000   6.00000   6.000000\n",
            "1         0    0  17.0        1        0        1  1.000000   1.0     0     2       0         0         1.0        2.0       0.0          0       1     0           0        0       1         1         0  5.000000  3.000000  3.000000  1.000000  1.000000  3.00000   4.000000   5.000000   5.00000   6.000000\n",
            "2         0    0  15.0        1        1        1  1.000000   1.0     0     2       2         1         1.0        2.0       3.0          1       0     1           0        1       1         1         0  4.000000  3.000000  2.000000  2.000000  2.294872  3.00000  10.000000   7.000000   8.00000  10.000000\n",
            "3         0    0  15.0        1        0        1  4.000000   2.0     1     3       1         1         1.0        3.0       0.0          0       1     1           1        1       1         1         1  3.000000  2.000000  2.000000  1.000000  1.000000  5.00000   2.000000  15.000000  14.00000  15.000000\n",
            "4         0    0  16.0        1        0        1  3.000000   3.0     2     2       1         0         1.0        2.0       0.0          0       1     1           0        1       1         0         0  4.000000  3.000000  2.000000  1.000000  2.000000  5.00000   4.000000   6.000000  10.00000  10.000000\n",
            "5         0    1  16.0        1        1        1  4.000000   3.0     3     2       3         1         1.0        2.0       0.0          0       1     1           1        1       1         1         0  5.000000  4.000000  2.000000  1.000000  2.000000  5.00000  10.000000  15.000000  15.00000  15.000000\n",
            "6         0    1  16.0        1        1        1  2.000000   2.0     2     2       1         1         1.0        2.0       0.0          0       0     0           0        1       1         1         0  4.000000  4.000000  4.000000  1.000000  1.000000  3.00000   0.000000  12.000000  12.00000  11.000000\n",
            "7         0    0  17.0        1        0        0  2.742347   4.0     2     4       1         1         2.0        2.0       0.0          1       1     0           0        1       1         0         0  4.000000  1.000000  4.000000  1.000000  1.000000  3.56701   6.000000   6.000000   5.00000   6.000000\n",
            "8         0    1  15.0        1        1        0  2.742347   2.0     3     2       1         1         1.0        2.0       0.0          0       1     1           0        1       1         1         0  4.000000  2.000000  2.000000  1.000000  1.000000  1.00000   0.000000  16.000000  18.00000  19.000000\n",
            "9         0    1  15.0        1        0        1  3.000000   4.0     2     2       1         1         1.0        2.0       0.0          0       1     1           1        1       1         1         0  5.000000  5.000000  1.000000  1.000000  1.000000  5.00000   0.000000  14.000000  15.00000  15.000000\n",
            "10        0    0  15.0        1        0        1  4.000000   4.0     4     1       3         1         1.0        2.0       0.0          0       1     1           0        1       1         1         0  3.000000  3.000000  3.000000  1.000000  2.000000  2.00000   0.000000  10.000000   8.00000   9.000000\n",
            "11        0    0  15.0        1        0        1  2.000000   1.0     3     2       3         0         3.0        3.0       0.0          0       1     0           1        1       1         1         0  5.000000  2.000000  2.000000  1.000000  1.000000  4.00000   4.000000  10.000000  12.00000  12.000000\n",
            "12        0    1  15.0        1        1        1  4.000000   4.0     1     3       0         0         1.0        1.0       0.0          0       1     1           1        1       1         1         0  4.000000  3.000000  3.000000  1.000000  3.000000  5.00000   2.000000  14.000000  14.00000  14.000000\n",
            "13        0    1  15.0        1        0        1  4.000000   3.0     4     2       0         1         2.0        2.0       0.0          0       1     1           0        1       1         1         0  5.000000  4.000000  3.000000  1.000000  2.294872  3.00000   2.000000  10.000000  10.00000  11.000000\n",
            "14        0    1  15.0        1        0        0  2.000000   2.0     2     2       1         2         1.0        3.0       0.0          0       1     0           0        1       1         1         1  4.000000  5.000000  2.000000  1.000000  1.000000  3.00000   0.000000  14.000000  16.00000  16.000000\n",
            "15        0    0  16.0        1        0        1  4.000000   4.0     1     2       1         1         1.0        1.0       0.0          0       1     0           0        1       1         1         0  4.000000  4.000000  4.000000  1.000000  2.000000  2.00000   4.000000  14.000000  14.00000  14.000000\n",
            "16        0    0  16.0        1        0        1  4.000000   4.0     3     3       3         1         1.0        3.0       0.0          0       1     1           1        1       1         1         0  3.000000  2.000000  3.000000  1.000000  2.000000  2.00000   6.000000  13.000000  14.00000  14.000000\n",
            "17        0    0  16.0        1        0        1  3.000000   3.0     2     2       3         1         3.0        2.0       0.0          1       1     0           1        1       1         0         0  5.000000  3.000000  2.000000  1.000000  1.000000  4.00000   4.000000   8.000000  10.00000  10.000000\n",
            "18        0    1  17.0        1        0        1  3.000000   2.0     3     3       0         1         1.0        1.0       3.0          0       1     0           1        1       1         1         0  5.000000  5.000000  3.104061  2.000000  4.000000  5.00000  16.000000   6.000000   5.00000   5.000000\n",
            "19        0    1  16.0        1        1        1  4.000000   3.0     1     2       1         0         1.0        1.0       0.0          0       0     1           1        1       1         1         0  3.000000  1.000000  3.000000  1.000000  3.000000  5.00000   4.000000   8.000000  10.00000  10.000000\n",
            "20        0    0  15.0        1        0        1  4.000000   3.0     4     2       3         1         1.0        2.0       0.0          0       0     0           0        1       1         1         0  4.000000  4.000000  1.000000  1.000000  1.000000  1.00000   0.000000  13.000000  14.00000  15.000000\n",
            "21        0    1  15.0        1        0        1  4.000000   4.0     1     1       2         0         1.0        1.0       0.0          0       1     1           0        1       1         1         0  5.000000  4.000000  2.000000  1.000000  1.000000  5.00000   0.000000  12.000000  15.00000  15.000000\n",
            "22        0    1  16.0        1        1        1  4.000000   2.0     4     2       0         1         1.0        2.0       0.0          0       0     0           1        1       1         1         0  4.000000  5.000000  1.000000  1.000000  3.000000  5.00000   2.000000  15.000000  15.00000  16.000000\n",
            "23        0    1  16.0        1        1        1  2.000000   2.0     2     2       3         1         2.0        2.0       0.0          0       1     0           1        1       1         1         0  5.000000  4.000000  4.000000  2.000000  4.000000  5.00000   0.000000  13.000000  13.00000  12.000000\n",
            "24        0    0  15.0        0        0        1  2.000000   4.0     3     1       0         1         1.0        3.0       0.0          1       1     1           1        1       1         1         0  4.000000  3.000000  2.000000  1.000000  1.000000  5.00000   2.000000  10.000000   9.00000   8.000000\n",
            "25        0    0  16.0        1        0        1  2.000000   2.0     3     3       1         1         1.0        1.0       2.0          0       1     1           0        0       1         1         0  1.000000  2.000000  2.000000  1.000000  3.000000  5.00000  14.000000   6.000000   9.00000   8.000000\n",
