 " One-Hot Encoded Veri (Tüm Satırlar ve Sütunlar):\n",
            "      age      Medu  Fedu  traveltime  studytime  failures    famrel  freetime     goout      Dalc      Walc   health   absences         G1        G2         G3  school_GP  school_MS  sex_F  sex_M  address_R  address_U  famsize_GT3  famsize_LE3  Pstatus_A  Pstatus_T  Mjob_at_home  Mjob_health  Mjob_other  Mjob_services  Mjob_teacher  Fjob_at_home  Fjob_health  Fjob_other  Fjob_services  Fjob_teacher  reason_course  reason_home  reason_other  reason_reputation  guardian_father  guardian_mother  guardian_other  schoolsup_no  schoolsup_yes  famsup_no  famsup_yes  paid_no  paid_yes  activities_no  activities_yes  nursery_no  nursery_yes  higher_no  higher_yes  internet_no  internet_yes  romantic_no  romantic_yes\n",
            "0    18.0  2.742347   4.0         2.0        2.0       0.0  3.944162  3.000000  4.000000  1.000000  1.000000  3.00000   6.000000   5.000000   6.00000   6.000000       True      False   True  False      False       True         True        False       True      False          True        False       False          False         False         False        False        True          False         False           True        False         False              False            False             True           False          True          False       True       False     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "1    17.0  1.000000   1.0         1.0        2.0       0.0  5.000000  3.000000  3.000000  1.000000  1.000000  3.00000   4.000000   5.000000   5.00000   6.000000       True      False   True  False      False       True         True        False      False       True          True        False       False          False         False         False        False        True          False         False           True        False         False              False             True            False           False          True          False      False        True     True     False           True           False        True        False      False        True        False          True         True         False\n",
            "2    15.0  1.000000   1.0         1.0        2.0       3.0  4.000000  3.000000  2.000000  2.000000  2.294872  3.00000  10.000000   7.000000   8.00000  10.000000       True      False   True  False      False       True        False         True      False       True          True        False       False          False         False         False        False        True          False         False          False        False          True              False            False             True           False         False           True       True       False    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "3    15.0  4.000000   2.0         1.0        3.0       0.0  3.000000  2.000000  2.000000  1.000000  1.000000  5.00000   2.000000  15.000000  14.00000  15.000000       True      False   True  False      False       True         True        False      False       True         False         True       False          False         False         False        False       False           True         False          False         True         False              False            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True        False          True\n",
            "4    16.0  3.000000   3.0         1.0        2.0       0.0  4.000000  3.000000  2.000000  1.000000  2.000000  5.00000   4.000000   6.000000  10.00000  10.000000       True      False   True  False      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False             True            False           False          True          False      False        True    False      True           True           False       False         True      False        True         True         False         True         False\n",
            "5    16.0  4.000000   3.0         1.0        2.0       0.0  5.000000  4.000000  2.000000  1.000000  2.000000  5.00000  10.000000  15.000000  15.00000  15.000000       True      False  False   True      False       True        False         True      False       True         False        False       False           True         False         False        False        True          False         False          False        False         False               True            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
            "6    16.0  2.000000   2.0         1.0        2.0       0.0  4.000000  4.000000  4.000000  1.000000  1.000000  3.00000   0.000000  12.000000  12.00000  11.000000       True      False  False   True      False       True        False         True      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False       True       False     True     False           True           False       False         True      False        True        False          True         True         False\n",
            "7    17.0  2.742347   4.0         2.0        2.0       0.0  4.000000  1.000000  4.000000  1.000000  1.000000  3.56701   6.000000   6.000000   5.00000   6.000000       True      False   True  False      False       True         True        False       True      False         False        False        True          False         False         False        False       False          False          True          False         True         False              False            False             True           False         False           True      False        True     True     False           True           False       False         True      False        True         True         False         True         False\n",
            "8    15.0  2.742347   2.0         1.0        2.0       0.0  4.000000  2.000000  2.000000  1.000000  1.000000  1.00000   0.000000  16.000000  18.00000  19.000000       True      False  False   True      False       True        False         True       True      False         False        False       False           True         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True    False      True           True           False       False         True      False        True        False          True         True         False\n",
            "9    15.0  3.000000   4.0         1.0        2.0       0.0  5.000000  5.000000  1.000000  1.000000  1.000000  5.00000   0.000000  14.000000  15.00000  15.000000       True      False  False   True      False       True         True        False      False       True         False        False        True          False         False         False        False        True          False         False          False         True         False              False            False             True           False          True          False      False        True    False      True          False            True       False         True      False        True        False          True         True         False\n",
